"decade","nhgisnam","nhgisst","nhgiscty","icpsrst","icpsrcty","icpsrnam","statenam","icpsrsti","icpsrctyi","icpsrfip","gisjoin","gisjoin2","state","county","pid","x_centroid","y_centroid","jnhgis40","jname40","YEAR","avg_visibility","avg_visibility_km","PM25"
"1940","Abbeville","450","0010","48","10","ABBEVILLE","South Carolina",48,10,45001,"G4500010","4500010","450","0010",938,1233914.38137,-278882.067524,"4500010","South CarolinaAbbeville","1940",0,0,0
"1940","Acadia","220","0010","45","10","ACADIA","Louisiana",45,10,22001,"G2200010","2200010","220","0010",211,344519.850509,-798655.779607,"2200010","LouisianaAcadia","1940",0,0,0
"1940","Accomack","510","0010","40","10","ACCOMACK","Virginia",40,10,51001,"G5100010","5100010","510","0010",2712,1762470.8191,219175.167844,"5100010","VirginiaAccomack","1940",0,0,0
"1940","Ada","160","0010","63","10","ADA","Idaho",63,10,16001,"G1600010","1600010","160","0010",542,-1618306.39079,839230.459556,"1600010","IdahoAda","1940",0,0,0
"1940","Adair","190","0010","31","10","ADAIR","Iowa",31,10,19001,"G1900010","1900010","190","0010",326,126987.55624,430242.153193,"1900010","IowaAdair","1940",0,0,0
"1940","Adair","210","0010","51","10","ADAIR","Kentucky",51,10,21001,"G2100010","2100010","210","0010",5,941702.843485,8798.5815313,"2100010","KentuckyAdair","1940",0,0,0
"1940","Adair","290","0010","34","10","ADAIR","Missouri",34,10,29001,"G2900010","2900010","290","0010",2299,286830.34778,306671.374347,"2900010","MissouriAdair","1940",0,0,0
"1940","Adair","400","0010","53","10","ADAIR","Oklahoma",53,10,40001,"G4000010","4000010","400","0010",647,120017.290967,-180226.856202,"4000010","OklahomaAdair","1940",0,0,0
"1940","Adams","080","0010","62","10","ADAMS","Colorado",62,10,8001,"G0800010","0800010","080","0010",2153,-708218.933998,297171.767237,"0800010","ColoradoAdams","1940",112.928904157447,181.741002616746,13.838044146529
"1940","Adams","160","0030","63","30","ADAMS","Idaho",63,30,16003,"G1600030","1600030","160","0030",3075,-1600808.57233,999513.388936,"1600030","IdahoAdams","1940",0,0,0
"1940","Adams","170","0010","21","10","ADAMS","Illinois",21,10,17001,"G1700010","1700010","170","0010",2869,407059.104109,289117.819824,"1700010","IllinoisAdams","1940",12.8598684210526,20.6959006447368,69.6421010633709
"1940","Adams","180","0010","22","10","ADAMS","Indiana",22,10,18001,"G1800010","1800010","180","0010",772,924401.4384,417563.330377,"1800010","IndianaAdams","1940",0,0,0
"1940","Adams","190","0030","31","30","ADAMS","Iowa",31,30,19003,"G1900030","1900030","190","0030",327,108496.222612,396188.823032,"1900030","IowaAdams","1940",0,0,0
